date,watch_time_minutes,views,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr
27-03-16,24.2108,9,0,0,
28-03-16,34.138,14,0,0,
29-03-16,62.364,18,0,0,
30-03-16,61.5333,25,0,0,
31-03-16,47.8867,16,0,0,
01-04-16,72.9599,27,0,0,
02-04-16,34.1202,21,0,0,
03-04-16,84.8777,10,0,0,
04-04-16,63.3036,37,0,0,
05-04-16,57.673,29,0,0,
06-04-16,88.0857,32,0,0,
07-04-16,100.9673,28,0,0,
08-04-16,141.295,30,0,0,
09-04-16,46.2114,20,0,0,
10-04-16,40.9682,12,0,0,
11-04-16,76.0341,26,0,0,
12-04-16,74.7307,27,0,0,
13-04-16,62.554,19,0,0,
14-04-16,39.9861,18,0,0,
15-04-16,54.7159,23,0,0,
16-04-16,145.5042,30,0,0,
17-04-16,52.7727,15,0,0,
18-04-16,33.0088,18,0,0,
19-04-16,103.8382,22,0,0,
20-04-16,46.1722,35,0,0,
21-04-16,97.9217,40,1,0,
22-04-16,104.5389,43,2,0,
23-04-16,31.0915,12,0,0,
24-04-16,35.0724,15,0,0,
25-04-16,49.6414,24,0,0,
26-04-16,83.3113,37,0,0,
27-04-16,83.9818,51,0,0,
28-04-16,69.5785,29,0,0,
29-04-16,132.5286,32,0,0,
30-04-16,35.6745,17,0,0,
01-05-16,99.8519,29,0,0,
02-05-16,153.8757,51,0,0,
03-05-16,175.2944,58,0,0,
04-05-16,93.7676,43,1,0,
05-05-16,167.6298,65,0,0,
06-05-16,117.6377,43,1,0,
07-05-16,25.4404,22,0,0,
08-05-16,29.277,14,0,0,
09-05-16,83.1707,48,0,0,
10-05-16,170.3338,54,0,0,
11-05-16,81.4979,43,1,0,
12-05-16,132.121,57,0,0,
13-05-16,101.6349,43,1,0,
14-05-16,76.3102,29,2,0,
15-05-16,195.9981,63,0,0,
16-05-16,131.9172,60,0,0,
17-05-16,177.251,44,0,0,
18-05-16,182.4069,81,1,0,
19-05-16,100.3097,56,0,0,
20-05-16,79.9631,41,0,0,
21-05-16,19.5529,11,0,0,
22-05-16,16.9159,12,0,0,
23-05-16,156.3943,73,0,0,
24-05-16,181.5214,48,0,0,
25-05-16,189.9206,64,0,0,
26-05-16,357.4693,86,0,0,
27-05-16,108.6691,58,0,0,
28-05-16,50.346,12,2,0,
29-05-16,63.2453,22,0,0,
30-05-16,113.0503,62,0,0,
31-05-16,124.1396,45,0,0,
01-06-16,86.5574,34,1,0,
02-06-16,163.6711,48,2,0,
03-06-16,106.0876,46,0,0,
04-06-16,28.3171,15,0,0,
05-06-16,94.8756,24,1,0,
06-06-16,150.8143,53,0,0,
07-06-16,80.516,39,0,0,
08-06-16,184.3771,66,1,0,
09-06-16,83.7006,35,0,0,
10-06-16,66.3021,38,0,0,
11-06-16,42.4339,19,0,0,
12-06-16,36.9127,11,0,0,
13-06-16,152.5225,58,0,0,
14-06-16,155.5894,56,2,0,
15-06-16,123.6344,62,0,0,
16-06-16,121.4692,68,0,0,
